grid_id,point_order,lon,lat,average_luminosity,average_windspeed
1,1,-4.657665383543986,55.75182913201317,8.68,15.965
1,2,-4.655565018535167,55.75182913201317,8.68,15.965
1,3,-4.655565018535167,55.75392949702199,8.68,15.965
1,4,-4.657665383543986,55.75392949702199,8.68,15.965
2,1,-4.655565018535167,55.75182913201317,8.726,16.428
2,2,-4.653464653526349,55.75182913201317,8.726,16.428
2,3,-4.653464653526349,55.75392949702199,8.726,16.428
2,4,-4.655565018535167,55.75392949702199,8.726,16.428
3,1,-4.653464653526348,55.75182913201317,8.822,16.535
3,2,-4.65136428851753,55.75182913201317,8.822,16.535
3,3,-4.65136428851753,55.75392949702199,8.822,16.535
3,4,-4.653464653526348,55.75392949702199,8.822,16.535
4,1,-4.65136428851753,55.75182913201317,8.748,17.276
4,2,-4.649263923508712,55.75182913201317,8.748,17.276
4,3,-4.649263923508712,55.75392949702199,8.748,17.276
4,4,-4.65136428851753,55.75392949702199,8.748,17.276
5,1,-4.649263923508711,55.75182913201317,8.703,17.513
5,2,-4.6471635584998925,55.75182913201317,8.703,17.513
5,3,-4.6471635584998925,55.75392949702199,8.703,17.513
5,4,-4.649263923508711,55.75392949702199,8.703,17.513
6,1,-4.6471635584998925,55.75182913201317,8.479,17.146
6,2,-4.645063193491074,55.75182913201317,8.479,17.146
6,3,-4.645063193491074,55.75392949702199,8.479,17.146
6,4,-4.6471635584998925,55.75392949702199,8.479,17.146
7,1,-4.645063193491073,55.75182913201317,8.381,17.016
7,2,-4.642962828482255,55.75182913201317,8.381,17.016
7,3,-4.642962828482255,55.75392949702199,8.381,17.016
7,4,-4.645063193491073,55.75392949702199,8.381,17.016
8,1,-4.642962828482255,55.75182913201317,8.362,16.711
8,2,-4.640862463473437,55.75182913201317,8.362,16.711
8,3,-4.640862463473437,55.75392949702199,8.362,16.711
8,4,-4.642962828482255,55.75392949702199,8.362,16.711
9,1,-4.640862463473436,55.75182913201317,8.385,16.484
9,2,-4.638762098464618,55.75182913201317,8.385,16.484
9,3,-4.638762098464618,55.75392949702199,8.385,16.484
9,4,-4.640862463473436,55.75392949702199,8.385,16.484
10,1,-4.638762098464618,55.75182913201317,8.521,16.06
10,2,-4.636661733455799,55.75182913201317,8.521,16.06
10,3,-4.636661733455799,55.75392949702199,8.521,16.06
10,4,-4.638762098464618,55.75392949702199,8.521,16.06
11,1,-4.6366617334557985,55.75182913201317,8.654,15.871
11,2,-4.63456136844698,55.75182913201317,8.654,15.871
11,3,-4.63456136844698,55.75392949702199,8.654,15.871
11,4,-4.6366617334557985,55.75392949702199,8.654,15.871
12,1,-4.63456136844698,55.75182913201317,8.829,15.931
12,2,-4.632461003438162,55.75182913201317,8.829,15.931
12,3,-4.632461003438162,55.75392949702199,8.829,15.931
12,4,-4.63456136844698,55.75392949702199,8.829,15.931
13,1,-4.632461003438161,55.75182913201317,8.992,15.865
13,2,-4.630360638429343,55.75182913201317,8.992,15.865
13,3,-4.630360638429343,55.75392949702199,8.992,15.865
13,4,-4.632461003438161,55.75392949702199,8.992,15.865
14,1,-4.630360638429343,55.75182913201317,9.057,16.356
14,2,-4.6282602734205245,55.75182913201317,9.057,16.356
14,3,-4.6282602734205245,55.75392949702199,9.057,16.356
14,4,-4.630360638429343,55.75392949702199,9.057,16.356
15,1,-4.628260273420524,55.75182913201317,8.959,16.394
15,2,-4.626159908411705,55.75182913201317,8.959,16.394
15,3,-4.626159908411705,55.75392949702199,8.959,16.394
15,4,-4.628260273420524,55.75392949702199,8.959,16.394
16,1,-4.626159908411705,55.75182913201317,8.919,16.329
16,2,-4.624059543402887,55.75182913201317,8.919,16.329
16,3,-4.624059543402887,55.75392949702199,8.919,16.329
16,4,-4.626159908411705,55.75392949702199,8.919,16.329
17,1,-4.624059543402886,55.75182913201317,8.886,16.442
17,2,-4.621959178394068,55.75182913201317,8.886,16.442
17,3,-4.621959178394068,55.75392949702199,8.886,16.442
17,4,-4.624059543402886,55.75392949702199,8.886,16.442
18,1,-4.621959178394068,55.75182913201317,8.949,16.38
18,2,-4.61985881338525,55.75182913201317,8.949,16.38
18,3,-4.61985881338525,55.75392949702199,8.949,16.38
18,4,-4.621959178394068,55.75392949702199,8.949,16.38
19,1,-4.619858813385249,55.75182913201317,9.048,16.188
19,2,-4.6177584483764305,55.75182913201317,9.048,16.188
19,3,-4.6177584483764305,55.75392949702199,9.048,16.188
19,4,-4.619858813385249,55.75392949702199,9.048,16.188
20,1,-4.6177584483764305,55.75182913201317,9.059,16.234
20,2,-4.615658083367612,55.75182913201317,9.059,16.234
20,3,-4.615658083367612,55.75392949702199,9.059,16.234
20,4,-4.6177584483764305,55.75392949702199,9.059,16.234
21,1,-4.615658083367611,55.75182913201317,8.958,16.187
21,2,-4.613557718358793,55.75182913201317,8.958,16.187
21,3,-4.613557718358793,55.75392949702199,8.958,16.187
21,4,-4.615658083367611,55.75392949702199,8.958,16.187
22,1,-4.613557718358793,55.75182913201317,8.686,15.856
22,2,-4.611457353349975,55.75182913201317,8.686,15.856
22,3,-4.611457353349975,55.75392949702199,8.686,15.856
22,4,-4.613557718358793,55.75392949702199,8.686,15.856
23,1,-4.611457353349974,55.75182913201317,8.483,15.869
23,2,-4.609356988341156,55.75182913201317,8.483,15.869
23,3,-4.609356988341156,55.75392949702199,8.483,15.869
23,4,-4.611457353349974,55.75392949702199,8.483,15.869
24,1,-4.609356988341156,55.75182913201317,8.43,14.931
24,2,-4.607256623332337,55.75182913201317,8.43,14.931
24,3,-4.607256623332337,55.75392949702199,8.43,14.931
24,4,-4.609356988341156,55.75392949702199,8.43,14.931
25,1,-4.607256623332336,55.75182913201317,8.581,14.464
25,2,-4.605156258323518,55.75182913201317,8.581,14.464
25,3,-4.605156258323518,55.75392949702199,8.581,14.464
25,4,-4.607256623332336,55.75392949702199,8.581,14.464
26,1,-4.605156258323518,55.75182913201317,8.766,13.954
26,2,-4.6030558933147,55.75182913201317,8.766,13.954
26,3,-4.6030558933147,55.75392949702199,8.766,13.954
26,4,-4.605156258323518,55.75392949702199,8.766,13.954
27,1,-4.6030558933147,55.75182913201317,8.891,13.858
27,2,-4.600955528305882,55.75182913201317,8.891,13.858
27,3,-4.600955528305882,55.75392949702199,8.891,13.858
27,4,-4.6030558933147,55.75392949702199,8.891,13.858
28,1,-4.600955528305881,55.75182913201317,8.818,14.816
28,2,-4.5988551632970625,55.75182913201317,8.818,14.816
28,3,-4.5988551632970625,55.75392949702199,8.818,14.816
28,4,-4.600955528305881,55.75392949702199,8.818,14.816
29,1,-4.5988551632970625,55.75182913201317,8.77,15.561
29,2,-4.596754798288244,55.75182913201317,8.77,15.561
29,3,-4.596754798288244,55.75392949702199,8.77,15.561
29,4,-4.5988551632970625,55.75392949702199,8.77,15.561
30,1,-4.596754798288243,55.75182913201317,8.527,16.0
30,2,-4.594654433279425,55.75182913201317,8.527,16.0
30,3,-4.594654433279425,55.75392949702199,8.527,16.0
30,4,-4.596754798288243,55.75392949702199,8.527,16.0
31,1,-4.594654433279425,55.75182913201317,8.342,16.007
31,2,-4.592554068270607,55.75182913201317,8.342,16.007
31,3,-4.592554068270607,55.75392949702199,8.342,16.007
31,4,-4.594654433279425,55.75392949702199,8.342,16.007
32,1,-4.592554068270606,55.75182913201317,8.369,15.66
32,2,-4.590453703261788,55.75182913201317,8.369,15.66
32,3,-4.590453703261788,55.75392949702199,8.369,15.66
32,4,-4.592554068270606,55.75392949702199,8.369,15.66
33,1,-4.590453703261788,55.75182913201317,8.453,15.261
33,2,-4.588353338252969,55.75182913201317,8.453,15.261
33,3,-4.588353338252969,55.75392949702199,8.453,15.261
33,4,-4.590453703261788,55.75392949702199,8.453,15.261
34,1,-4.588353338252968,55.75182913201317,8.697,14.86
34,2,-4.58625297324415,55.75182913201317,8.697,14.86
34,3,-4.58625297324415,55.75392949702199,8.697,14.86
34,4,-4.588353338252968,55.75392949702199,8.697,14.86
35,1,-4.58625297324415,55.75182913201317,8.836,14.979
35,2,-4.584152608235332,55.75182913201317,8.836,14.979
35,3,-4.584152608235332,55.75392949702199,8.836,14.979
35,4,-4.58625297324415,55.75392949702199,8.836,14.979
36,1,-4.584152608235331,55.75182913201317,8.906,15.528
36,2,-4.582052243226513,55.75182913201317,8.906,15.528
36,3,-4.582052243226513,55.75392949702199,8.906,15.528
36,4,-4.584152608235331,55.75392949702199,8.906,15.528
37,1,-4.582052243226513,55.75182913201317,8.894,15.886
37,2,-4.5799518782176944,55.75182913201317,8.894,15.886
37,3,-4.5799518782176944,55.75392949702199,8.894,15.886
37,4,-4.582052243226513,55.75392949702199,8.894,15.886
38,1,-4.579951878217694,55.75182913201317,8.884,16.463
38,2,-4.577851513208875,55.75182913201317,8.884,16.463
38,3,-4.577851513208875,55.75392949702199,8.884,16.463
38,4,-4.579951878217694,55.75392949702199,8.884,16.463
39,1,-4.577851513208875,55.75182913201317,8.866,16.718
39,2,-4.575751148200057,55.75182913201317,8.866,16.718
39,3,-4.575751148200057,55.75392949702199,8.866,16.718
39,4,-4.577851513208875,55.75392949702199,8.866,16.718
40,1,-4.575751148200056,55.75182913201317,8.869,16.869
40,2,-4.573650783191238,55.75182913201317,8.869,16.869
40,3,-4.573650783191238,55.75392949702199,8.869,16.869
40,4,-4.575751148200056,55.75392949702199,8.869,16.869
41,1,-4.573650783191238,55.75182913201317,8.9,17.008
41,2,-4.57155041818242,55.75182913201317,8.9,17.008
41,3,-4.57155041818242,55.75392949702199,8.9,17.008
41,4,-4.573650783191238,55.75392949702199,8.9,17.008
42,1,-4.571550418182419,55.75182913201317,8.84,16.416
42,2,-4.5694500531736,55.75182913201317,8.84,16.416
42,3,-4.5694500531736,55.75392949702199,8.84,16.416
42,4,-4.571550418182419,55.75392949702199,8.84,16.416
43,1,-4.5694500531736,55.75182913201317,8.655,15.745
43,2,-4.567349688164782,55.75182913201317,8.655,15.745
43,3,-4.567349688164782,55.75392949702199,8.655,15.745
43,4,-4.5694500531736,55.75392949702199,8.655,15.745
44,1,-4.567349688164781,55.75182913201317,8.611,14.62
44,2,-4.565249323155963,55.75182913201317,8.611,14.62
44,3,-4.565249323155963,55.75392949702199,8.611,14.62
44,4,-4.567349688164781,55.75392949702199,8.611,14.62
45,1,-4.565249323155963,55.75182913201317,8.568,14.1
45,2,-4.563148958147145,55.75182913201317,8.568,14.1
45,3,-4.563148958147145,55.75392949702199,8.568,14.1
45,4,-4.565249323155963,55.75392949702199,8.568,14.1
46,1,-4.563148958147144,55.75182913201317,8.6,14.662
46,2,-4.561048593138326,55.75182913201317,8.6,14.662
46,3,-4.561048593138326,55.75392949702199,8.6,14.662
46,4,-4.563148958147144,55.75392949702199,8.6,14.662
47,1,-4.561048593138326,55.75182913201317,8.764,15.497
47,2,-4.558948228129507,55.75182913201317,8.764,15.497
47,3,-4.558948228129507,55.75392949702199,8.764,15.497
47,4,-4.561048593138326,55.75392949702199,8.764,15.497
48,1,-4.558948228129506,55.75182913201317,8.913,16.874
48,2,-4.556847863120688,55.75182913201317,8.913,16.874
48,3,-4.556847863120688,55.75392949702199,8.913,16.874
48,4,-4.558948228129506,55.75392949702199,8.913,16.874
49,1,-4.556847863120688,55.75182913201317,8.991,18.069
49,2,-4.55474749811187,55.75182913201317,8.991,18.069
49,3,-4.55474749811187,55.75392949702199,8.991,18.069
49,4,-4.556847863120688,55.75392949702199,8.991,18.069
50,1,-4.554747498111869,55.75182913201317,9.225,18.464
50,2,-4.552647133103051,55.75182913201317,9.225,18.464
50,3,-4.552647133103051,55.75392949702199,9.225,18.464
50,4,-4.554747498111869,55.75392949702199,9.225,18.464
51,1,-4.552647133103051,55.75182913201317,9.397,18.741
51,2,-4.550546768094232,55.75182913201317,9.397,18.741
51,3,-4.550546768094232,55.75392949702199,9.397,18.741
51,4,-4.552647133103051,55.75392949702199,9.397,18.741
52,1,-4.550546768094232,55.75182913201317,9.527,18.017
52,2,-4.548446403085414,55.75182913201317,9.527,18.017
52,3,-4.548446403085414,55.75392949702199,9.527,18.017
52,4,-4.550546768094232,55.75392949702199,9.527,18.017
53,1,-4.548446403085413,55.75182913201317,9.503,16.771
53,2,-4.546346038076595,55.75182913201317,9.503,16.771
53,3,-4.546346038076595,55.75392949702199,9.503,16.771
53,4,-4.548446403085413,55.75392949702199,9.503,16.771
54,1,-4.546346038076595,55.75182913201317,9.505,15.183
54,2,-4.544245673067777,55.75182913201317,9.505,15.183
54,3,-4.544245673067777,55.75392949702199,9.505,15.183
54,4,-4.546346038076595,55.75392949702199,9.505,15.183
55,1,-4.544245673067776,55.75182913201317,9.29,13.592
55,2,-4.5421453080589576,55.75182913201317,9.29,13.592
55,3,-4.5421453080589576,55.75392949702199,9.29,13.592
55,4,-4.544245673067776,55.75392949702199,9.29,13.592
56,1,-4.5421453080589576,55.75182913201317,9.086,13.121
56,2,-4.540044943050139,55.75182913201317,9.086,13.121
56,3,-4.540044943050139,55.75392949702199,9.086,13.121
56,4,-4.5421453080589576,55.75392949702199,9.086,13.121
57,1,-4.540044943050138,55.75182913201317,8.784,13.592
57,2,-4.53794457804132,55.75182913201317,8.784,13.592
57,3,-4.53794457804132,55.75392949702199,8.784,13.592
57,4,-4.540044943050138,55.75392949702199,8.784,13.592
58,1,-4.53794457804132,55.75182913201317,8.572,14.472
58,2,-4.535844213032502,55.75182913201317,8.572,14.472
58,3,-4.535844213032502,55.75392949702199,8.572,14.472
58,4,-4.53794457804132,55.75392949702199,8.572,14.472
59,1,-4.535844213032501,55.75182913201317,8.529,15.887
59,2,-4.533743848023683,55.75182913201317,8.529,15.887
59,3,-4.533743848023683,55.75392949702199,8.529,15.887
59,4,-4.535844213032501,55.75392949702199,8.529,15.887
60,1,-4.533743848023683,55.75182913201317,8.524,16.331
60,2,-4.531643483014864,55.75182913201317,8.524,16.331
60,3,-4.531643483014864,55.75392949702199,8.524,16.331
60,4,-4.533743848023683,55.75392949702199,8.524,16.331
61,1,-4.5316434830148635,55.75182913201317,8.625,16.074
61,2,-4.529543118006045,55.75182913201317,8.625,16.074
61,3,-4.529543118006045,55.75392949702199,8.625,16.074
61,4,-4.5316434830148635,55.75392949702199,8.625,16.074
62,1,-4.529543118006045,55.75182913201317,8.77,14.763
62,2,-4.527442752997227,55.75182913201317,8.77,14.763
